,P/E Ratio,Beta,Market Cap,EPS Growth,ROE,Dividend Yield,Current Ratio,Quick Ratio,Insider Ownership
ICE,39.66253,1.091,91770855424.0,-0.225,0.09365,0.0113,0.995,0.028,0.0101499995
IFF,,1.233,26136020992.0,5.011,-0.14678,0.015700001,2.379,0.761,0.00056
IP,37.18321,1.01,16920830976.0,1.081,0.05436,0.038,1.594,1.07,0.00437
IPG,11.5222225,1.084,11684636672.0,-0.162,0.27183,0.0424,1.065,0.991,0.00393
INTU,61.72153,1.243,180785528832.0,-0.185,0.16597,0.0064999997,1.292,0.615,0.02888
ISRG,83.39623,1.395,172773113856.0,0.237,0.15767999,,5.146,4.034,0.00522
IVZ,,1.423,7727049728.0,0.004,-0.0054400004,0.0478,5.303,0.797,0.016590001
INVH,46.20513,1.004,22077888512.0,-0.459,0.047020003,0.0311,3.618,2.485,0.00333
IQV,31.444157,1.498,44138475520.0,0.239,0.22837,,0.849,0.751,0.0091699995
IRM,147.89745,1.026,33839241216.0,308.278,0.81127,0.0248,0.794,0.657,0.00815
JBHT,29.0895,1.153,17236822016.0,-0.271,0.15131,0.010199999,1.21,0.825,0.20077999
JBL,10.341197,1.245,12928192512.0,-0.384,0.56054,0.0028,1.129,0.612,0.029790001
JKHY,33.191204,0.638,12656152576.0,0.031,0.22128999,0.0127,0.997,0.649,0.00711
J,29.259842,0.721,18468222976.0,-0.092,0.093260005,0.0078,1.141,1.108,0.010089999
JNJ,24.797585,0.519,395172511744.0,-0.016,0.22146,0.030199999,1.072,0.765,0.00088
JCI,31.13445,1.3,49499836416.0,-0.052,0.1042,0.02,0.955,0.592,0.00311
JPM,11.766443,1.105,600584814592.0,0.288,0.16545,0.023699999,,,0.00451
JNPR,54.788734,0.921,12804441088.0,0.429,0.05277,0.0226,1.685,0.979,0.01249
K,32.195217,0.394,27794356224.0,-0.034,0.22856002,0.028199999,0.727,0.405,0.009459999
KVUE,40.385967,,44087214080.0,-0.87,0.10548,0.0356,0.991,0.548,0.00022
KDP,24.012821,0.618,50799128576.0,0.058,0.08723,0.024600001,0.509,0.261,0.21917999
KEY,22.526318,1.238,15889346560.0,-0.073,0.06,0.0479,,,0.00375
KEYS,29.311539,0.974,26451425280.0,0.379,0.18031,,2.05,1.249,0.0057200002
KMB,20.821005,0.403,47405162496.0,4.367,2.3954499,0.0347,0.849,0.495,0.00169
KIM,43.037033,1.492,15666362368.0,0.034,0.03642,0.041300002,1.681,1.681,0.02155
KMI,19.990826,0.921,48362037248.0,-0.009,0.08012,0.052800003,0.368,0.237,0.12812
KKR,31.57109,1.616,122839121920.0,-0.238,0.10172,0.0053,1.773,1.708,0.24034001
KLAC,37.455574,1.276,102008397824.0,0.245,0.87845004,0.0076,2.152,1.375,0.00097000005
KHC,22.410257,0.478,42269437952.0,-0.901,0.03867,0.0458,1.006,0.409,0.27193
KR,14.5,0.46,40073891840.0,-0.882,0.24285999,0.0231,0.872,0.306,0.07615
LHX,37.433388,0.732,44241100800.0,0.049,0.06197,0.0199,0.896,0.555,0.00324
LH,41.304832,1.041,18658324480.0,0.146,0.05357,0.012999999,0.879,0.618,0.00332
LRCX,26.670921,1.483,100418822144.0,0.303,0.45706,0.0119,2.97,1.929,0.00254
LW,13.140563,0.746,9401831424.0,-0.738,0.45356998,0.022,1.287,0.502,0.00738
LVS,19.70892,1.113,30915414016.0,0.168,0.47807997,0.0191,1.583,1.528,0.52582
LDOS,49.235107,0.704,21158180864.0,0.58,0.096260004,0.0097,1.207,0.981,0.0107700005
LEN,12.105648,,49527988224.0,-0.453,0.15878001,0.011,15.723,4.481,0.02596
LLY,113.623924,0.422,829733535744.0,0.682,0.59248,0.0056,1.114,0.603,0.00153
LIN,35.96875,0.945,225338441728.0,0.078,0.16193001,0.0117999995,0.951,0.73,0.0020299999
LYV,94.21818,1.343,24056295424.0,0.009,0.52389,,0.919,0.762,0.324
LKQ,14.54909,1.283,10532872192.0,-0.336,0.12129,0.03,1.751,0.564,0.00522
LMT,20.744287,0.469,136321703936.0,0.033,0.87394994,0.022,1.242,1.047,0.00068000006
L,11.516129,0.818,17240080384.0,0.055,0.09997,0.0032,0.496,0.496,0.18729
LOW,21.463697,1.09,147575881728.0,-0.086,,0.0177,1.224,0.239,0.00102
LULU,20.32585,1.253,32242466816.0,0.175,0.43159,,2.432,1.182,0.046329997
LYB,13.226441,1.082,30571368448.0,0.293,0.17465,0.056999996,2.1,1.126,0.20257999
MTB,13.320475,0.744,29986697216.0,-0.262,0.086969994,0.0301,,,0.00438
MRO,10.910156,2.169,15623566336.0,0.319,0.13327,0.015800001,0.572,0.504,0.00453
MPC,8.620346,1.364,55018700800.0,-0.186,0.28934,0.0201,1.306,0.867,0.00242
MKTX,37.017265,1.077,9712456704.0,0.082,0.21017,0.0115,14.579,12.354,0.02313
MAR,24.439,1.591,68801404928.0,0.13,,0.010299999,0.423,0.386,0.18011
MMC,27.701365,0.937,109932052480.0,0.097,0.31645,0.0146,1.167,0.521,0.00093999994
